Author,Year,Title,Journal,Keywords,JEL.Codes,Date.Created,Article.Link
Mark Spoerer,2008,The Laspeyres-Paradox: tax overshifting in nineteenth century Prussia,Cliometrica,"Laspeyres' paradox, Milling and slaughter tax, Overshifting, Prussia, Rent-seeking behaviour",B19; H22; N43,2008-08-30,https://econpapers.repec.org/article/afccliome/v_3a2_3ay_3a2008_3ai_3a3_3ap_3a173-193.htm
Simon Lloyd and Solomos Solomou,2020,The impact of the 1932 General Tariff: a difference-in-difference approach,Cliometrica,"Trade policy, General Tariff, Difference-in-difference",F13; N64,2020-01-10,https://econpapers.repec.org/article/afccliome/v_3a14_3ay_3a2020_3ai_3a1_3ap_3a41-60.htm
"Shuo Chen, Haoyuan Ding, Shu Lin and Haichun Ye",2022,From past lies to current misconduct: The long shadow of China's Great Leap Forward,Journal of Development Economics ,Dishonest behavior; Social norms; Corporate financial misconduct; Yield over-reporting; Great leap forward;,D91; G30; N25; P37; Z13,2022-06-12,https://econpapers.repec.org/article/eeedeveco/v_3a157_3ay_3a2022_3ai_3ac_3as0304387822000530.htm
"Michael Stuetzer, Martin Obschonka, David B. Audretsch, Michael Wyrwich, Peter J. Rentfrow, Mike Coombes, Leigh Shaw-Taylor and Max Satchell",2016,"Industry structure, entrepreneurship, and culture: An empirical analysis using historical coalfields",European Economic Review ,Entrepreneurship; Entrepreneurship culture; Industrial revolution; Industry structure; Personality;,L26; N13; N53; N64; N94,2016-06-12,https://econpapers.repec.org/article/eeeeecrev/v_3a86_3ay_3a2016_3ai_3ac_3ap_3a52-72.htm
Roberto Bonfatti,2017,The sustainability of empire in a global perspective: The role of international trade patterns,Journal of International Economics ,Colonial trade; Rise and fall of empires; Economic legacy of colonialism;,D74; F1; N4,2017-11-07,https://econpapers.repec.org/article/eeeinecon/v_3a108_3ay_3a2017_3ai_3ac_3ap_3a137-156.htm
Simon Lloyd and Solomos Solomou,2020,The impact of the 1932 General Tariff: a difference-in-difference approach,Cliometrica,"Trade policy, General Tariff, Difference-in-difference",F13; N64,2020-01-10,https://econpapers.repec.org/article/sprcliomt/v_3a14_3ay_3a2020_3ai_3a1_3ad_3a10.1007_5fs11698-019-00184-z.htm
Victor Ginsburgh and Shlomo Weber,2020,The Economics of Language,Journal of Economic Literature ,,N30; Z13,2020-06-04,https://econpapers.repec.org/article/aeajeclit/v_3a58_3ay_3a2020_3ai_3a2_3ap_3a348-404.htm
Shuhei Kainuma,2024,Transition to broader-based politics: The role of suffrage extension in early 20th century Japan,European Journal of Political Economy ,Voting franchise; Elections; Political representation; Political selection; Political competition;,D72; H56; N45,2024-04-11,https://econpapers.repec.org/article/eeepoleco/v_3a81_3ay_3a2024_3ai_3ac_3as0176268024000016.htm
Carmen Reinhart and Kenneth Rogoff,2013,Shifting Mandates: The Federal Reserve's First Centennial,American Economic Review ,,E31; E44; E58; G21; G28; N11; N12,2013-05-21,https://econpapers.repec.org/article/aeaaecrev/v_3a103_3ay_3a2013_3ai_3a3_3ap_3a48-54.htm
Carmen Reinhart and Kenneth Rogoff,2014,Recovery from Financial Crises: Evidence from 100 Episodes,American Economic Review ,,E23; E32; E44; G01; G21; N10; N20,2014-05-17,https://econpapers.repec.org/article/aeaaecrev/v_3a104_3ay_3a2014_3ai_3a5_3ap_3a50-55.htm
Alan Blinder and Mark Watson,2016,Presidents and the US Economy: An Econometric Exploration,American Economic Review ,,D72; E23; E32; E65; N12; N42,2018-06-15,https://econpapers.repec.org/article/aeaaecrev/v_3a106_3ay_3a2016_3ai_3a4_3ap_3a1015-45.htm
Robert Barro and Jose F. Ursua,2008,Consumption Disasters in the Twentieth Century,American Economic Review ,,E20; E21; E32; G12; N10; O40; Y90,2013-01-08,https://econpapers.repec.org/article/aeaaecrev/v_3a98_3ay_3a2008_3ai_3a2_3ap_3a58-63.htm
Carmen Reinhart and Kenneth Rogoff,2008,Is the 2007 US Sub-prime Financial Crisis So Different? An International Historical Comparison,American Economic Review ,,F32; G21; N20,2013-01-08,https://econpapers.repec.org/article/aeaaecrev/v_3a98_3ay_3a2008_3ai_3a2_3ap_3a339-44.htm
"Carmen Reinhart, Vincent Reinhart and Kenneth Rogoff",2012,Public Debt Overhangs: Advanced-Economy Episodes since 1800,Journal of Economic Perspectives ,,E23; H63; N10; N40,2012-12-15,https://econpapers.repec.org/article/aeajecper/v_3a26_3ay_3a2012_3ai_3a3_3ap_3a69-86.htm
Alan Blinder,2023,"Landings, Soft and Hard: The Federal Reserve, 1965–2022",Journal of Economic Perspectives ,,E31; E32; E43; E52; E58; N12; N22,2023-02-07,https://econpapers.repec.org/article/aeajecper/v_3a37_3ay_3a2023_3ai_3a1_3ap_3a101-20.htm
Antoine Parent,2012,"A critical note on ""This time is different""",Cliometrica,"Financial and banking crises, Public debt, International financial markets, Regulation",B41; F34; F44; G01; N10; N20,2012-05-30,https://econpapers.repec.org/article/afccliome/v_3a6_3ay_3a2012_3ai_3a2_3ap_3a211-219.htm
"Fernando Arteaga, Desiree Desierto and Mark Koyama",2024,Shipwrecked by rents,Journal of Development Economics ,Corruption; Rent-seeking; Bribery; Shipwrecks; Institutions;,K00; N00; N13,2024-04-02,https://econpapers.repec.org/article/eeedeveco/v_3a168_3ay_3a2024_3ai_3ac_3as0304387823001967.htm
"Jakob Madsen, Peter Robertson and Longfeng Ye",2019,Malthus was right: Explaining a millennium of stagnation,European Economic Review ,Economic growth; Economic development; Convergence; Technological progress; Malthusian trap;,N00; O1; O4; O47,2019-09-30,https://econpapers.repec.org/article/eeeeecrev/v_3a118_3ay_3a2019_3ai_3ac_3ap_3a51-68.htm
"Emanuele Bracco, Francesco Porcelli and Michela Redoano",2019,"Political competition, tax salience and accountability. Theory and evidence from Italy",European Journal of Political Economy ,Political competition; Government; Accountability; Tax salience;,D7; H11; H2; H77; H87; N12,2019-07-17,https://econpapers.repec.org/article/eeepoleco/v_3a58_3ay_3a2019_3ai_3ac_3ap_3a138-163.htm
"Martina Cioni, Giovanni Federico and Michelangelo Vasta",2020,The long-term evolution of economic history: evidence from the top five field journals (1927–2017),Cliometrica,"Economic History, Cliometric Revolution, Top Journal in Economic History",N01,2020-01-10,https://econpapers.repec.org/article/sprcliomt/v_3a14_3ay_3a2020_3ai_3a1_3ad_3a10.1007_5fs11698-019-00186-x.htm
Gabriele Cappelli and Michelangelo Vasta,2021,A “Silent Revolution”: school reforms and Italy’s educational gender gap in the Liberal Age (1861–1921),Cliometrica,"Gender, Primary schooling, Liberal Age, Italy",I25; J16; N3,2021-01-25,https://econpapers.repec.org/article/sprcliomt/v_3a15_3ay_3a2021_3ai_3a1_3ad_3a10.1007_5fs11698-020-00201-6.htm
"Leandro Prados de la Escosura, Carlos Álvarez-Nogal and Carlos Santiago-Caballero",2022,Growth recurring in preindustrial Spain?,Cliometrica,"Preindustrial Spain, Frontier economy, Black Death, Malthusian, Growth recurring",E10; N13; O10; O47,2022-05-13,https://econpapers.repec.org/article/sprcliomt/v_3a16_3ay_3a2022_3ai_3a2_3ad_3a10.1007_5fs11698-021-00232-7.htm
"Martina Cioni, Giovanni Federico and Michelangelo Vasta",2023,Is economic history changing its nature? Evidence from top journals,Cliometrica,"Bibliometric analysis, Citations, Economic history, Economics journals",A12; N01,2023-01-11,https://econpapers.repec.org/article/sprcliomt/v_3a17_3ay_3a2023_3ai_3a1_3ad_3a10.1007_5fs11698-022-00242-z.htm
"Pierre Hautcoeur, Amir Rezaee and Angelo Riva",2023,Competition between securities markets: stock exchange industry regulation in the Paris financial center at the turn of the twentieth century,Cliometrica,"Paris stock exchange, Market microstructures, Regulation, Monopoly, Consolidation, Fragmentation, Spreads",G14; G18; G24; N13; N23; N43,2023-04-23,https://econpapers.repec.org/article/sprcliomt/v_3a17_3ay_3a2023_3ai_3a2_3ad_3a10.1007_5fs11698-022-00248-7.htm
Leopoldo Fergusson,2013,The political economy of rural property rights and the persistence of the dual economy,Journal of Development Economics ,Political economy; Institutions; Economic development; Taxation; Property rights; Land; Dualism;,H2; N10; O1; O10; P16,2013-07-17,https://econpapers.repec.org/article/eeedeveco/v_3a103_3ay_3a2013_3ai_3ac_3ap_3a167-181.htm
Emmanuelle Auriol and Jean-Philippe Platteau,2017,Religious co-option in autocracy: A theory inspired by history,Journal of Development Economics ,Autocracy; Instrumentalization of religion; Centralized and decentralized religion; Islam; Economic development; Reforms;,D02; D72; N40; O57; P48; Z12,2017-06-21,https://econpapers.repec.org/article/eeedeveco/v_3a127_3ay_3a2017_3ai_3ac_3ap_3a395-412.htm
"Ahmad Hosseinzadeh, Russell Smyth, Abbas Valadkhani and Viet Le",2016,Analyzing the efficiency performance of major Australian mining companies using bootstrap data envelopment analysis,Economic Modelling ,Australia; Mining companies; Efficiency; Data envelopment analysis; Bootstrap;,D24; N57; Q32; Q33,2016-06-12,https://econpapers.repec.org/article/eeeecmode/v_3a57_3ay_3a2016_3ai_3ac_3ap_3a26-35.htm
Vicente Pinilla and Agustina Rayes,2019,How Argentina became a super-exporter of agricultural and food products during the First Globalisation (1880–1929),Cliometrica,"Settler economies, Latin American economic history, First Globalisation, International trade",F14; N56; N76; Q17,2019-08-24,https://econpapers.repec.org/article/sprcliomt/v_3a13_3ay_3a2019_3ai_3a3_3ad_3a10.1007_5fs11698-018-0178-0.htm
"Eleonora Bertoni, Michele Di Maio, Vasco Molini and Roberto Nisticò",2019,Education is forbidden: The effect of the Boko Haram conflict on education in North-East Nigeria,Journal of Development Economics ,Boko Haram; Conflict; Education; School enrolment; Nigeria;,D22; D24; N45; O12,2020-01-24,https://econpapers.repec.org/article/eeedeveco/v_3a141_3ay_3a2019_3ai_3ac_3as0304387818302505.htm
Michiel Gerritse,2021,Does trade cause detrimental specialization in developing economies? Evidence from countries south of the Suez Canal,Journal of Development Economics ,International trade; Specialization; Institutional development; Quasi-natural experiment;,F11; F12; F43; F63; N77; O19; O43,2021-09-04,https://econpapers.repec.org/article/eeedeveco/v_3a152_3ay_3a2021_3ai_3ac_3as0304387821000547.htm
Gan Jin,2023,Circle of fortune: The long-term impact of Western customs institution in China,Journal of Development Economics ,Institutions; Economic development; Culture; Corruption; China;,D73; N45; N75; O43; Z10,2023-06-07,https://econpapers.repec.org/article/eeedeveco/v_3a163_3ay_3a2023_3ai_3ac_3as0304387823000305.htm
Jacopo Timini,2020,Staying dry on Spanish wine: The rejection of the 1905 Spanish-Italian trade agreement,European Journal of Political Economy ,Trade agreement; Tariffs; Wine; Vote;,D72; F13; N43; N73,2020-06-24,https://econpapers.repec.org/article/eeepoleco/v_3a63_3ay_3a2020_3ai_3ac_3as0176268020300409.htm
Vincent Fleuriet and Paul Vertier,2024,Does the G20 compact with Africa foster economic growth: Evidence from synthetic differences,Economics Letters ,Investment; Growth; Africa;,F21; F43; N17,2024-04-11,https://econpapers.repec.org/article/eeeecolet/v_3a236_3ay_3a2024_3ai_3ac_3as0165176524000533.htm
Jean-Baptiste Fleury and Alain Marciano,2018,The Sound of Silence: A Review Essay of Nancy MacLean's Democracy in Chains: The Deep History of the Radical Right's Stealth Plan for America,Journal of Economic Literature ,,A11; B21; B31; D72; K00; N42,2018-12-14,https://econpapers.repec.org/article/aeajeclit/v_3a56_3ay_3a2018_3ai_3a4_3ap_3a1492-1537.htm
Miguel Martín-Retortillo and Vicente Pinilla,2015,On the causes of economic growth in Europe: why did agricultural labour productivity not converge between 1950 and 2005?,Cliometrica,Agricultural labour productivity European agriculture European economic history Causes of economic growth,N50; N54; O13; Q10,2015-09-02,https://econpapers.repec.org/article/afccliome/v_3a9_3ay_3a2015_3ai_3a3_3ap_3a359-396.htm
Francois Velde,2014,A Review of Peter Temin's The Roman Market Economy,Journal of Economic Literature ,,C80; N01; N13; N73,2014-12-13,https://econpapers.repec.org/article/aeajeclit/v_3a52_3ay_3a2014_3ai_3a4_3ap_3a1151-59.htm
"Luke Stein, Constantine Yannelis and Francesca Cornelli",2020,"Financial Inclusion, Human Capital, and Wealth Accumulation: Evidence from the Freedman’s Savings Bank",The Review of Financial Studies ,,G21; G51; I22; N21; N31,2022-04-17,https://econpapers.repec.org/article/ouprfinst/v_3a33_3ay_3a2020_3ai_3a11_3ap_3a5333-5377..htm
Bogang Jun and Tai-Yoo Kim,2017,Non-financial hurdles for human capital accumulation: landownership in Korea under Japanese rule,Cliometrica,"Inequality, Education, Development, Korean economic history",I25; N35; Q15,2017-01-11,https://econpapers.repec.org/article/sprcliomt/v_3a11_3ay_3a2017_3ai_3a1_3ad_3a10.1007_5fs11698-015-0138-x.htm
"Federico Pablo-Martí, Ángel Alañón-Pardo and Angel Sánchez",2021,Complex networks to understand the past: the case of roads in Bourbon Spain,Cliometrica,"Road network, Spain, GIS, Agent based simulation",C63; C8; N73; R42,2021-08-29,https://econpapers.repec.org/article/sprcliomt/v_3a15_3ay_3a2021_3ai_3a3_3ad_3a10.1007_5fs11698-020-00218-x.htm
Ideen A. Riahi,2022,Why Eurasia? A probe into the origins of global inequalities,Cliometrica,"Comparative economic development, Human dispersal, Coevolution, Extinction, Animal domestication",N10; N50; O00; O50; P50; Z10,2022-01-08,https://econpapers.repec.org/article/sprcliomt/v_3a16_3ay_3a2022_3ai_3a1_3ad_3a10.1007_5fs11698-021-00222-9.htm
Katharina Mühlhoff,2022,"Darwin beats malthus: evolutionary anthropology, human capital and the demographic transition",Cliometrica,"Demographic transition, Darwinian selection, Human evolution, Unified growth theory",D1; I12; I15; N13; N33; O44; Z1,2022-08-25,https://econpapers.repec.org/article/sprcliomt/v_3a16_3ay_3a2022_3ai_3a3_3ad_3a10.1007_5fs11698-021-00234-5.htm
David Bris and Ronan Tallec,2023,"The European marriage pattern and the sensitivity of female age at marriage to economic context. Montesquieu-Volvestre, 1660–1789",Cliometrica,"European marriage pattern, Economic development, Family system, Population, Gender gap, Fertility",J12; J13; N33; O12,2023-04-23,https://econpapers.repec.org/article/sprcliomt/v_3a17_3ay_3a2023_3ai_3a2_3ad_3a10.1007_5fs11698-022-00254-9.htm
Justin Cook,2015,The Natural Selection of Infectious Disease Resistance and Its Effect on Contemporary Health,The Review of Economics and Statistics ,"Life Expectancy, Long Term Comparative Development, Human Capital, Infectious Disease, Genetic Diversity, Neolithic Revolution, Natural Selection",I12; N10; O10; Z13,2015-10-09,https://econpapers.repec.org/article/tprrestat/v_3a97_3ay_3a2015_3ai_3a4_3ap_3a742-757.htm
"Klaus Desmet, Ignacio Ortuño-Ortín and Romain Wacziarg",2012,The political economy of linguistic cleavages,Journal of Development Economics ,Ethnolinguistic cleavages; Diversity; Linguistic trees; Civil conflict; Redistribution; Public goods; Growth;,H1; N4; O4; O5,2012-10-02,https://econpapers.repec.org/article/eeedeveco/v_3a97_3ay_3a2012_3ai_3a2_3ap_3a322-338.htm
Gustavo Bobonis and Peter Morrow,2014,Labor coercion and the accumulation of human capital,Journal of Development Economics ,Labor coercion; Human capital; Historical development;,J41; N36; O15,2014-05-31,https://econpapers.repec.org/article/eeedeveco/v_3a108_3ay_3a2014_3ai_3ac_3ap_3a32-53.htm
Francesco Cinnirella and Erik Hornung,2016,Landownership concentration and the expansion of education,Journal of Development Economics ,Land concentration; Education; Serfdom; Peasants' emancipation; Prussian economic history;,I25; N33; O43; Q15,2016-06-12,https://econpapers.repec.org/article/eeedeveco/v_3a121_3ay_3a2016_3ai_3ac_3ap_3a135-152.htm
Ola Olsson and Christopher Paik,2016,Long-run cultural divergence: Evidence from the Neolithic Revolution,Journal of Development Economics ,Neolithic agriculture; Comparative development; Western reversal;,N50; O43,2016-09-20,https://econpapers.repec.org/article/eeedeveco/v_3a122_3ay_3a2016_3ai_3ac_3ap_3a197-213.htm
"Stephen Broadberry, Sayantan Ghosal and Eugenio Proto",2017,"Anonymity, efficiency wages and technological progress",Journal of Development Economics ,Commercialisation; Industrial revolution; Anonymity; Efficiency wages; Learning by doing;,N13; O14; O43,2017-06-21,https://econpapers.repec.org/article/eeedeveco/v_3a127_3ay_3a2017_3ai_3ac_3ap_3a379-394.htm
James Fenske and Shizhuo Wang,2023,Tradition and mortality: Evidence from twin infanticide in Africa,Journal of Development Economics ,Non-persistence; Twins; Infanticide; Africa;,I15; J13; N37; O12; Z13,2023-06-07,https://econpapers.repec.org/article/eeedeveco/v_3a163_3ay_3a2023_3ai_3ac_3as0304387823000494.htm
Gaurav Chiplunkar and Jeffrey Weaver,2023,Marriage markets and the rise of dowry in India,Journal of Development Economics ,Dowry; Marriage markets; India;,J12; N35; O15,2023-10-07,https://econpapers.repec.org/article/eeedeveco/v_3a164_3ay_3a2023_3ai_3ac_3as0304387823000706.htm
Johannes Buggle,2016,Law and social capital: Evidence from the Code Napoleon in Germany,European Economic Review ,Institutions; Long-term persistence; Trust; Social capital;,N43; O10; P48; Z10,2016-07-12,https://econpapers.repec.org/article/eeeeecrev/v_3a87_3ay_3a2016_3ai_3ac_3ap_3a148-175.htm
Cemal Eren Arbatli and David Gomtsyan,2019,Voting retrospectively: Critical junctures and party identification,European Economic Review ,Partisanship; retrospective voting; refugee; migration; conflict; collective memory; Armenian Revolutionary Federation;,D72; J15; N45; Z13,2020-01-24,https://econpapers.repec.org/article/eeeeecrev/v_3a119_3ay_3a2019_3ai_3ac_3ap_3a356-390.htm
Jakob Madsen and Holger Strulik,2020,Technological change and inequality in the very long run,European Economic Review ,Inequality; Malthus; Unified growth theory; Agriculture; Human capital;,I25; J10; N30; N50; O30; O40,2020-10-20,https://econpapers.repec.org/article/eeeeecrev/v_3a129_3ay_3a2020_3ai_3ac_3as001429212030163x.htm
"Bryan P. Cutsinger, Louis Rouanet and Joshua S. Ingber",2023,Assignats or death: The politics and dynamics of hyperinflation in revolutionary France,European Economic Review ,Political economy; Inflationary finance; French revolution;,D72; E31; N13,2023-09-09,https://econpapers.repec.org/article/eeeeecrev/v_3a157_3ay_3a2023_3ai_3ac_3as0014292123001393.htm
"Jakob Madsen, Cong Wang and Bodo Steiner",2017,The creation of effective states in the OECD since 1870: The role of inequality,European Journal of Political Economy ,Inequality; Institutions; State capacity; OECD countries;,H00; N20; O1,2018-01-24,https://econpapers.repec.org/article/eeepoleco/v_3a50_3ay_3a2017_3ai_3ac_3ap_3a106-121.htm
Thilo Rene Huning and Fabian Wahl,2023,You reap what you know: Appropriability and the origin of European states,European Journal of Political Economy ,Fiscal capacity; Soil heterogeneity; Holy Roman Empire; Duchy of Württemberg;,D02; D82; H11; H21; N93,2023-09-05,https://econpapers.repec.org/article/eeepoleco/v_3a79_3ay_3a2023_3ai_3ac_3as0176268023000769.htm
"Ned Augenblick, Jesse Cunha, Ernesto Dal Bó and Justin M. Rao",2016,The economics of faith: using an apocalyptic prophecy to elicit religious beliefs in the field,Journal of Public Economics ,Economics of faith; Religion; Faith; Time preference; Beliefs; Field experiments;,D81; D84; N30; Z12,2016-09-13,https://econpapers.repec.org/article/eeepubeco/v_3a141_3ay_3a2016_3ai_3ac_3ap_3a38-49.htm
Carola Frydman and Raven S. Molloy,2011,Does tax policy affect executive compensation? Evidence from postwar tax reforms,Journal of Public Economics ,Executive compensation; Tax policy; Elasticity of taxable income;,G30; H24; H32; J31; J33; N32,2012-10-02,https://econpapers.repec.org/article/eeepubeco/v_3a95_3ay_3a2011_3ai_3a11_3ap_3a1425-1437.htm
"Apostolos Serletis, Mingyu He and M.M. Islam Chowdhury",2023,Chaos in long-maturity real rates,Economics Letters ,Chaos; Complexity; Real interest rates; Economic fluctuations;,C32; E4; F3; N20,2023-04-20,https://econpapers.repec.org/article/eeeecolet/v_3a225_3ay_3a2023_3ai_3ac_3as0165176523000642.htm
"Joshua Hausman, Paul Rhode and Johannes Wieland",2019,Recovery from the Great Depression: The Farm Channel in Spring 1933,American Economic Review ,,E32; E65; N12; N52; Q11; Q12,2019-02-05,https://econpapers.repec.org/article/aeaaecrev/v_3a109_3ay_3a2019_3ai_3a2_3ap_3a427-72.htm
Mathias Hoffmann and Toshihiro Okubo,2022,‘By a silken thread’: Regional banking integration and credit reallocation during Japan's lost decade,Journal of International Economics ,Japan; Lost decade; Banking integration; Regional business cycles; Transmission of financial shocks; Bank lending channel; Firm-borrowing channel; Reallocation channel; Internal capital markets; Monetary union;,F36; F40; G01; N15; N25,2022-06-12,https://econpapers.repec.org/article/eeeinecon/v_3a137_3ay_3a2022_3ai_3ac_3as0022199622000113.htm
Suresh Naidu and Noam Yuchtman,2013,Coercive Contract Enforcement: Law and the Labor Market in Nineteenth Century Industrial Britain,American Economic Review ,,J31; J41; K12; K31; N33; N43,2013-01-29,https://econpapers.repec.org/article/aeaaecrev/v_3a103_3ay_3a2013_3ai_3a1_3ap_3a107-44.htm
Kris James Mitchener and Gary Richardson,2013,Shadowy Banks and Financial Contagion during the Great Depression: A Retrospective on Friedman and Schwartz,American Economic Review ,,B31; E32; E44; E52; G21; N12; N22,2013-05-21,https://econpapers.repec.org/article/aeaaecrev/v_3a103_3ay_3a2013_3ai_3a3_3ap_3a73-78.htm
Richard Hornbeck and Suresh Naidu,2014,When the Levee Breaks: Black Migration and Economic Development in the American South,American Economic Review ,,J15; J43; N32; N52; N92; Q54; R23,2014-03-05,https://econpapers.repec.org/article/aeaaecrev/v_3a104_3ay_3a2014_3ai_3a3_3ap_3a963-90.htm
"Matthew Gentzkow, Jesse Shapiro and Michael Sinkinson",2014,Competition and Ideological Diversity: Historical Evidence from US Newspapers,American Economic Review ,,D72; K21; L13; L41; L82; N42; N72,2014-10-04,https://econpapers.repec.org/article/aeaaecrev/v_3a104_3ay_3a2014_3ai_3a10_3ap_3a3073-3114.htm
Ilyana Kuziemko and Ebonya Washington,2018,Why Did the Democrats Lose the South? Bringing New Data to an Old Debate,American Economic Review ,,D72; J15; N42,2018-09-28,https://econpapers.repec.org/article/aeaaecrev/v_3a108_3ay_3a2018_3ai_3a10_3ap_3a2830-67.htm
J. Vernon Henderson and Duncan Black,1999,Spatial Evolution of Population and Industry in the United States,American Economic Review ,,N31; N32; R23,2013-01-11,https://econpapers.repec.org/article/aeaaecrev/v_3a89_3ay_3a1999_3ai_3a2_3ap_3a321-327.htm
Nicholas Stern,2008,The Economics of Climate Change,American Economic Review ,,D02; D11; D12; D23; D71; D72; D81; D82; D83; D87; E43; F02; F15; F33; F34; F36; F42; F50; G22; H56; K10; K42; L11; N43; O17; Q54; Q58,2013-01-08,https://econpapers.repec.org/article/aeaaecrev/v_3a98_3ay_3a2008_3ai_3a2_3ap_3a1-37.htm
Nico Voigtländer and Hans-Joachim Voth,2009,"Malthusian Dynamism and the Rise of Europe: Make War, Not Love",American Economic Review ,,J11; N33; N93; R11; R23,2013-01-08,https://econpapers.repec.org/article/aeaaecrev/v_3a99_3ay_3a2009_3ai_3a2_3ap_3a248-54.htm
Timothy Guinnane,2011,The Historical Fertility Transition: A Guide for Economists,Journal of Economic Literature ,,I12; J13; N30,2013-01-04,https://econpapers.repec.org/article/aeajeclit/v_3a49_3ay_3a2011_3ai_3a3_3ap_3a589-614.htm
Dora Costa,2015,Health and the Economy in the United States from 1750 to the Present,Journal of Economic Literature ,,H51; I10; J13; N31; N32,2015-11-03,https://econpapers.repec.org/article/aeajeclit/v_3a53_3ay_3a2015_3ai_3a3_3ap_3a503-70.htm
Lant Pritchett,1997,"Divergence, Big Time",Journal of Economic Perspectives ,,E24; J21; J64; N10; O47,2012-12-15,https://econpapers.repec.org/article/aeajecper/v_3a11_3ay_3a1997_3ai_3a3_3ap_3a3-17.htm
Kenneth Sokoloff and Stanley L. Engerman,2000,"Institutions, Factor Endowments, and Paths of Development in the New World",Journal of Economic Perspectives ,,N16,2012-12-07,https://econpapers.repec.org/article/aeajecper/v_3a14_3ay_3a2000_3ai_3a3_3ap_3a217-232.htm
Christopher Carroll,2001,"A Theory of the Consumption Function, with and without Liquidity Constraints",Journal of Economic Perspectives ,,D91; E21; N41; N42; O34,2012-12-07,https://econpapers.repec.org/article/aeajecper/v_3a15_3ay_3a2001_3ai_3a3_3ap_3a23-45.htm
Spencer Banzhaf,2014,Retrospectives: The Cold-War Origins of the Value of Statistical Life,Journal of Economic Perspectives ,,D72; J17; N32; N42,2014-11-12,https://econpapers.repec.org/article/aeajecper/v_3a28_3ay_3a2014_3ai_3a4_3ap_3a213-26.htm
Marc Klemp,2012,"Prices, wages and fertility in pre-industrial England",Cliometrica,"Malthus, Cointegration, Pre-industrial England",C32; N3; O1,2012-01-16,https://econpapers.repec.org/article/afccliome/v_3a6_3ay_3a2012_3ai_3a1_3ap_3a63-77.htm
"Anton Cheremukhin, Mikhail Golosov, Sergei Guriev and Aleh Tsyvinski",2024,The Political Development Cycle: The Right and the Left in People's Republic of China from 1953,American Economic Review ,,D72; N15; N45; N55; O21; P21; P24,2024-03-29,https://econpapers.repec.org/article/aeaaecrev/v_3a114_3ay_3a2024_3ai_3a4_3ap_3a1107-39.htm
Kris James Mitchener and Christoph Trebesch,2023,Sovereign Debt in the Twenty-first Century,Journal of Economic Literature ,,E58; F33; F34; G01; G21; H63; N20,2023-06-06,https://econpapers.repec.org/article/aeajeclit/v_3a61_3ay_3a2023_3ai_3a2_3ap_3a565-623.htm
"Zenonas Norkus, Jurgita Markeviciute, Ola Grytten, Janis Šilinš and Adomas Klimantas",2024,Benchmarking Latvia’s economy: a new estimate of gross domestic product in the 1930s,Cliometrica,Interwar Latvia · National accounting · Gross domestic product (GDP) · Relative productivity · Composition of output,E01; N14; O47,2024-02-16,https://econpapers.repec.org/article/afccliome/v_3a18_3ay_3a2024_3ai_3a1_3ap_3a251-325.htm
Eric Hanushek and Ludger Woessmann,2012,"Schooling, educational achievement, and the Latin American growth puzzle",Journal of Development Economics ,Economic growth; Latin America; Cognitive skills; Schooling;,H4; I2; N16; O4,2012-12-21,https://econpapers.repec.org/article/eeedeveco/v_3a99_3ay_3a2012_3ai_3a2_3ap_3a497-512.htm
Jonathan Davis,2015,The asymmetric effects of deflation on consumption spending: Evidence from the great depression,Economics Letters ,Deflation; Consumption; Durable goods; Non-durable goods;,E20; N10,2015-04-22,https://econpapers.repec.org/article/eeeecolet/v_3a130_3ay_3a2015_3ai_3ac_3ap_3a105-108.htm
Ichiro Iwasaki and Xinxin Ma,2021,Returns to Secondary and Tertiary Education in China - A Meta-Analysis,Asian Economics Letters ,"publication,china, selection bias,meta-analysis",N35,2022-12-08,https://econpapers.repec.org/article/aybjrnael/52.htm
"Christoffer Koch, Gary Richardson and Patrick Van Horn",2016,Bank Leverage and Regulatory Regimes: Evidence from the Great Depression and Great Recession,American Economic Review ,,E32; E44; E58; G01; G21; G28; N22,2018-06-15,https://econpapers.repec.org/article/aeaaecrev/v_3a106_3ay_3a2016_3ai_3a5_3ap_3a538-42.htm
"Paul Sharp, Holger Strulik and Jacob Weisdorf",2012,The determinants of income in a Malthusian equilibrium,Journal of Development Economics ,Malthusian model; Subsistence income;,J13; N1,2012-10-12,https://econpapers.repec.org/article/eeedeveco/v_3a97_3ay_3a2012_3ai_3a1_3ap_3a112-117.htm
Soohyung Lee and Benjamin Malin,2013,Education's role in China's structural transformation,Journal of Development Economics ,China; Returns to education; Labor reallocation; Structural transformation; Growth accounting;,I2; J6; N3; O1; O5,2013-05-31,https://econpapers.repec.org/article/eeedeveco/v_3a101_3ay_3a2013_3ai_3ac_3ap_3a148-166.htm
"Livia Chitu, Barry Eichengreen and Arnaud Mehl",2014,When did the dollar overtake sterling as the leading international currency? Evidence from the bond markets,Journal of Development Economics ,Foreign public debt; International monetary system; International currencies; Role of the US dollar; Network externalities; Path dependency;,F30; N20,2014-11-20,https://econpapers.repec.org/article/eeedeveco/v_3a111_3ay_3a2014_3ai_3ac_3ap_3a225-245.htm
